Kanji,Meaning,Radicals
糾,Twist,Thread + Vines
挑,Challenge,Fingers + Omen
荒,Wild,Flowers + Death + River
紛,Distract,Thread + Part
掘,Dig,Fingers + Flag + Exit
軸,Axis,Car + Reason
双,Pair,Stool + Stool
芝,Lawn,Flowers + Hills
肝,Liver,Moon + Dry
柄,Pattern,Tree + Dynamite
潟,Lagoon,Tsunami + Sun + Wing
枢,Hinge,Tree + District
括,Fasten,Fingers + Tongue
揺,Shake,Fingers + Satellite
焦,Char,Turkey + Boil
滑,Slippery,Tsunami + Bone
慰,Consolation,Flag + Jackhammer + Measurement + Heart
懇,Courteous,badger + Root + Heart
炉,Furnace,Fire + Door
封,"Seal, Seal In, Closing",Dirt + Dirt + Measurement
即,Instant,Root + Stamp
滅,Destroy,Tsunami + Slide + Drunkard + Ground + Fire
筒,Cylinder,Bamboo + Same
斉,Simultaneous,Simultaneous
趣,Gist,Run + Ear + Stool
摩,Chafe,Mullet + Tree + Tree + Hand
距,Distance,Foot + Giant
襲,Attack,Imperial + Clothes
沈,Sink,Tsunami + Pirate
沼,Bog,Tsunami + Joker
籍,Enroll,Bamboo + Plow + Long Ago
貢,Tribute,Construction + Shellfish
潮,Tide,Tsunami + Morning + Moon
懲,Chastise,Loiter + Mountain + King + Winter + Heart
旨,"Point, Delicious",Spoon + Sun
撲,Slap,Fingers + Business
珍,Rare,King + Hat + Hair
岳,Peak,Axe + Ground + Mountain
柔,Gentle,Spear + Tree
刷,Printing,Flag + Towel + Knife
誰,Who,Say + Turkey
牧,Pasture,Cow + Winter
朗,Bright,Good + Moon
滋,Nourishing,Tsunami + Horns + Ground + Trash + Trash
露,"Expose, Dew",Rain + Foot + Kiss
威,Majesty,Drunkard + Slide + Ground + Woman
垣,"Hedge, Fence",Dirt + Ground + Dawn
泰,Peace,Train + Water
擦,Grate,Fingers + Roof + Festival
琴,Harp,King + King + Now
裂,"Split, Tear",Yakuza + Knife + Clothes
竜,Dragon,Dragon
謎,Riddle,Say + Treadmill + Rice
芽,Sprout,Flowers + Fang
涙,Teardrop,Tsunami + Door + Big
嵐,Storm,Mountain + Wind
吉,Good Luck,Good Luck
俺,"I, Me",Leader + Big + Rice Paddy + Umbrella
縁,Edge,Thread + Wolverine + Pig
桃,Peach,Tree + Omen
髪,Hair,Long + Hair + Friend
梨,Pear,Grain + Knife + Tree
丘,Hill,Axe + Ground
斗,"Ladle, Big Dipper",ladle
匹,"Small Animal, Small Animal Counter",Cage + Legs
雷,Thunder,Rain + Rice Paddy
娯,Recreation,Woman + Catapult
缶,"Can, Tin Can",Can
笠,Conical Hat,Bamboo + Stand
寸,Measurement,Measurement
姫,Princess,Woman + Servant
刃,Blade,Blade
翼,Wing,Feathers + Rice Paddy + Together
叫,Shout,Mouth + Vines
忍,Endure,Blade + Heart
棚,Shelf,Tree + Moon + Moon
粒,Grains,Rice + Stand
釣,Fishing,Gold + Pool
叱,Scold,Mouth + Seven
辛,Spicy,Spicy
侍,Samurai,Leader + Temple
僕,"I, Me",Leader + Business
砲,Cannon,Stone + Wrap
塔,Tower,Dirt + Flowers + Suit
朱,Vermillion,Slide + Jet
暦,Calendar,Cliff + Tree + Tree + Sun
呪,Curse,Mouth + Older Brother
陰,Shade,Building + Now + Cloud
肌,Skin,Moon + Table
井,Well,Well
曇,Cloudy,Sun + Rain + Cloud
湿,Damp,Tsunami + Sun + Spikes
眺,Stare,Eye + Omen
塾,Cram School,Sock + Circle + Dirt
磨,Polish,Mullet + Tree + Tree + Stone
卓,Table,Toe + Early
狩,Hunt,Animal + Protect
嫁,Bride,Woman + House
菌,Bacteria,Flowers + Mouth + Grain
澄,Lucidity,Tsunami + Tent + Beans
鐘,Bell,Gold + Stand + Village
脚,"Leg, Foot",Moon + past + Stamp
矛,Halberd,Spear
凶,Villain,Treasure Chest
裸,Naked,Spirit + Fruit
嬢,Miss,Woman + Nurse
翔,Fly,Sheep + Feathers +
狂,"Lunatic, Crazy",Animal + King
硬,Stiff,Stone + Again
疲,Exhausted,Sick + Skin
賭,Gamble,Shellfish + Someone
滝,Waterfall,Tsunami + Dragon
溝,Gutter,Tsunami + Lifeguard
魂,"Soul, Spirit",Cloud + Demon
也,Considerably,Alligator
稼,Earnings,Grain + House
頃,Approximate,Spoon + Geoduck
霊,Ghost,Rain + Two + Spikes
舟,Boat,Boat
塊,Lump,Dirt + Demon
吾,"I, Me",Five + Mouth
寧,Rather,Roof + Heart + Net + Street
穏,Calm,Grain + Cleat + Wolverine + Heart
碁,Go,Crab + Stone
穂,"Head of Plant, Ear of Plant",Grain + Favor
帝,Sovereign,Stand + Towel
瞳,Pupil,Eye + Stand + Village
俵,Sack,Leader + Life + Kick
椅,Chair,Tree + Odd
錬,Tempering,Gold + East
棟,Pillar,Tree + East
誇,Pride,Say + Big + Ground + Beggar
歳,Years Old,Stop + Slide + Drunkard + Jackhammer
孔,"Cavity, Hole",Child + Umbrella
阻,Thwart,Building + Top Hat
租,Tariff,Grain + Top Hat
鳩,"Dove, Pigeon",Nine + Bird
魔,Devil,Mullet + Tree + Tree + Demon
涼,Cool,Tsunami + Capital
癖,Habit,Sick + Hot Pepper
盆,Lantern Festival,Part + Plate
庄,Manor,Mullet + Dirt
菊,Chrysanthemum,Flowers + Prison + Rice
泡,Bubbles,Tsunami + Wrap
綿,Cotton,Thread + White + Towel
鍛,Forge,Gold + Comb + Weapon
黙,Shut Up,Village + Dog + Boil
架,Shelf,Power + Mouth + Tree
瞬,Blink,Eye + Cleat + Forehead + Dance
鍵,Key,Gold + Yoga + Brush
猿,Monkey,Animal + Dirt + Mouth + Kick
斬,Slice,Car + Axe
墨,Black Ink,Black + Dirt
零,"Zero, Spill",Rain + Orders
寮,Dormitory,Roof + Charcoal
鈍,Dull,Gold + Barracks
幽,Secluded,Mountain + Trash + Trash
幣,Cash,penguin + Towel
欺,Deceit,Crab + Lack
帽,Hat,Towel + Sun + Eye
爽,Refreshing,Big + Treasure
崖,Cliff,Mountain + Cliff + Dirt + Dirt
芯,Wick,Flowers + Heart
恨,Grudge,Soul + Root
粘,Sticky,Rice + Fortune
憩,Rest,Tongue + Self + Heart
掌,Manipulate,Viking + Mouth + Hand
唇,Lips,Landslide + Mouth
粧,Cosmetics,Rice + Mullet + Dirt
憎,Hate,Soul + Mask
扉,Front Door,Door + Criminal
巾,Towel,Towel
墜,Crash,Building + Horns + Pig + Dirt
塀,Fence,Dirt + Flag + Horns + Lantern
如,Likeness,Woman + Mouth
虹,Rainbow,Insect + Construction
婆,Old Woman,Wave + Woman
哀,Pathetic,Lid + Mouth + Kick
挿,Insert,Fingers + Thousand + Humble
霧,Fog,Rain + Task
炊,Cook,Fire + Lack
伊,Italy,Leader + Wolverine + Slide
滴,Drip,Tsunami + Mohawk
扇,Folding Fan,Door + Feathers
尺,"Shaku, Japanese Foot",Shrimp
胴,Torso,Moon + Same
箸,Chopsticks,Bamboo + Someone
瞭,Clear,Eye + Charcoal
砕,Smash,Stone + Nine + Cross
柳,Willow,Tree + Stamp
詐,Lie,Say + Key
畳,Tatami Mat,Rice Paddy + Forehead + Top Hat
佐,Help,Leader + Narwhal + Construction
班,Squad,King + Knife + King
穫,Harvest,Grain + Flowers + Turkey + Stool
殴,Assault,Cage + Treasure + Weapon
彩,Coloring,Cleat + Tree + Hair
耐,Resistant,Rake + Measurement
脅,Threaten,Power + Power + Power + Moon
辱,Humiliate,Landslide + Measurement
闇,Darkness,Gate + Sound
盾,Shield,Cliff + Pope
蛇,Snake,Insect + Roof + Spoon
蓄,Amass,Flowers + Mysterious + Rice Paddy
塗,Paint,Tsunami + Surplus + Dirt
畜,Livestock,Mysterious + Rice Paddy
灯,Lamp,Fire + Street
悔,Regret,Soul + Every
憶,Recollection,Soul + Idea
溶,Melt,Tsunami + Form
培,Cultivate,Dirt + Clown
輝,Radiance,Sunlight + Forehead + Car
飢,Starve,Eat + Table
踊,Dance,Foot + Mama + Task
賢,Clever,Servant + Stool + Shellfish
咲,Blossom,Mouth + Horns + Heaven
餓,Starve,Eat + Ego
脇,Armpit,Moon + Power + Power + Power
遂,Accomplish,Treadmill + Horns + Pig
斜,Diagonal,Surplus + ladle
蚊,Mosquito,Insect + Writing
迅,Swift,Treadmill + Cliff + Cross
霜,Frost,Rain + Tree + Eye
鉢,Bowl,Gold + book
貼,Paste,Shellfish + Fortune
隙,Crevice,Building + Small + Sun + Small
尽,Exhaust,Shrimp + Ice
麻,Hemp,Mullet + Tree + Tree
騎,Horse,Horse + Odd
帳,Notebook,Towel + Long
陛,Highness,Building + Compare + Dirt
劣,Inferiority,Few + Power
抽,Pluck,Fingers + Reason
桑,Mulberry,Stool + Stool + Stool + Tree
衰,Decline,Lid + Sun + Kick
潤,Watered,Tsunami + Gate + King
尼,Nun,Flag + Spoon
紫,Purple,Stop + Spoon + Thread
駒,Chess Piece,Horse + Paragraph
謀,Conspire,Say + Sweet + Tree
拘,Arrest,Fingers + Paragraph
俗,Vulgar,Leader + Valley
刈,Prune,Treasure + Knife
陶,Pottery,Building + Prison + Can
礎,Foundation,Stone + Tree + Coat Rack
壇,Podium,Dirt + Lid + Times + Dawn
隔,Isolate,Building + bully
鶴,Crane,Roof + Turkey + Bird
珠,Pearl,King + Slide + Jet
剛,Sturdy,Hill + Knife
奨,Encourage,Commander + big
勘,Intuition,Crab Trap + Power
誓,Vow,Fingers + Axe + Say
煮,Boil,Someone + Boil
淡,Faint,Tsunami + Fire + Fire
妃,"Princess, Queen",Woman + Oneself
覆,"Capsize, Cover",Helicopter + Loiter + Black Hole
征,Subjugate,Loiter + Correct
拓,Cultivation,Fingers + Stone
悟,Comprehension,Soul + Five + Mouth
概,Approximation,Tree + Root + Fang
唯,Solely,Mouth + Turkey
浸,Immersed,Tsunami + Wolverine + Forehead + Stool
漂,Drift,Tsunami + Helicopter + Jackhammer
偶,Accidentally,Leader + Splinter
伯,Chief,Leader + White
訂,Revise,Say + Street
壮,Robust,Icicle + Samurai
巧,Adept,Construction + Beggar
墳,Tomb,Dirt + Cross + Flowers + Shellfish
簿,Record Book,Bamboo + Tsunami + Specialty
搬,Transport,Fingers + Boat + Weapon
涯,Horizon,Tsunami + Cliff + Dirt + Dirt
疫,Epidemic,Sick + Weapon
彰,Patent,chapter + Hair
把,"Bundle, Grasp",Fingers + Bed
邪,Wicked,Fang + Building
淀,Eddy,Tsunami + Roof + Correct
鰐,Alligator,Fish + Mouth + Mouth + Ground + Beggar
峰,Summit,Mountain + Winter + Signpost
唐,"China, Sudden",Mullet + Brush + Mouth
亭,Restaurant,restaurant
堰,Dam,Dirt + Cage + Sun + Woman
晶,Crystal,Sun + Sun + Sun
后,Empress,Cliff + Ground + Mouth
洞,Cave,Tsunami + Same
廷,Courts,Yoga + King
鬱,Gloom,Tree + Can + Tree + Psychopath
蟹,Crab,Angle + Sword + Cow + Insect
漫,Manga,Tsunami + Sun + Net + Stool
軌,Rut,Car + Nine
諮,Consult,Say + Next + Mouth
仰,Look Up To,Leader + Cat Pirate
奮,Stirred Up,Big + Turkey + Rice Paddy
翻,Flip,Number + Feathers
堤,Embankment,Dirt + Sun + Correct
銘,Inscription,Gold + Name
駄,Burdensome,Horse + Fat
頂,"Summit, Humbly",Street + Geoduck
聡,Wise,Ear + Public + Heart
隅,Corner,Building + Splinter
燥,Dry Up,Fire + Syrup
媛,"Princess, Beautiful Woman",Woman + Football
邸,Residence,Clan + Ground + Building
隻,Ship Counter,Turkey + Stool
貞,Chastity,Toe + Shellfish
肯,"Agreement, Consent",Stop + Moon
肪,Obese,Moon + Direction
釈,Explanation,Sickle + Shrimp
膚,Skin,Tiger + Stomach
脂,Fat,Moon + Spoon + Sun
喚,"Scream, Yell",Mouth + Prison + Big + Legs
軒,House Counter,Car + Dry
軟,Soft,Car + Lack
渦,Whirlpool,Tsunami + Mustache
郊,Suburbs,Mix + Building
苗,"Seedling, Sapling",Flowers + Rice Paddy
瓶,Bottle,Horns + Lantern + Ten Thousand + Drop + Ground
玄,Mysterious,Mysterious
沸,Boil,Tsunami + Dollar
亮,Clear,Lid + Mouth + Forehead + Legs
濯,Wash,Tsunami + Wolverine + Turkey
襟,Collar,Spirit + Tree + Jackhammer
耕,Plow,Plow + Well
偉,Greatness,Leader + Korea
浦,Bay,Tsunami + Wedding
枯,Wither,Tree + Old
召,Call,Joker
慈,Mercy,Horns + Ground + Trash + Heart
郡,"County, District",Buddy + Building
塚,Mound,Dirt + Forehead + Pig
挟,Between,Fingers + Husband + Horns
蓮,Lotus,Flowers + Treadmill + Car
颯,"Quick, Sudden",Stand + Wind
遭,"Encounter, Meet",Treadmill + Music + Sun + Ground
噴,Erupt,Mouth + Cross + Flowers + Shellfish
鎖,Chain,Gold + Triceratops + Shellfish
偏,Biased,Leader + Library
貫,"Pierce, Sushi Counter",Window + Shellfish
綾,Design,Thread + Frostbite
孤,"Orphan, Alone",Child + Melon
陥,Cave In,Building + Stick + Prison + Sun
賠,"Compensation, Compensate",Shellfish + Clown
倫,Ethics,Leader + Roof + Bookshelf
猟,Hunting,Animal + Grass + elephant
擁,Embrace,Fingers + Lid + Trash + Turkey
乃,From,Stairs
祥,Auspicious,Spirit + Sheep
慢,"Ridicule, Laziness",Soul + Sun + Net + Stool
輔,Help,Car + Wedding
茨,"Briar, Thorn",Flowers + Next
恒,"Constant, Always",Soul + Ground + Dawn
殊,Especially,Yakuza + Slide + Jet
呂,Bath,Bathtub
覇,Leadership,Helicopter + Leather + Moon
秩,"Order, Regularity",Grain + Fault
芳,Perfume,Flowers + Direction
遇,Treatment,Treadmill + Splinter
陳,Exhibit,Building + East
牲,Offering,Cow + Life
唆,Instigate,Mouth + Spider
隼,Falcon,Turkey + Cross
糧,Provisions,Rice + Dawn + Village
須,Necessary,Hair + Geoduck
惰,Lazy,Soul + Narwhal + Construction + Moon
怠,"Lazy, Neglect",Private + Mouth + Heart
膨,Swell,Moon + Dirt + Beans + Hair
没,Die,Tsunami + Weapon
鯉,"Carp, Koi",Fish + Village
浄,"Cleanse, Purify",Tsunami + Conflict
随,All,Building + Treadmill + Have
駿,Speed,Horse + Spider
戴,Receive,Cross + Drunkard + Rice Paddy + Blackjack + Fins
丹,Rust Colored,Boat
蒙,Darkness,Flowers + Forehead + Pig
啓,Enlighten,Door + Winter + Mouth
葵,Hollyhock,Flowers + Tent + Heaven
緋,Scarlet,Thread + Criminal
莉,Jasmine,Flowers + Grain + Knife
徐,Gently,Loiter + Surplus
胞,"Cell, Placenta",Moon + Wrap
虐,Oppress,Tiger + Wolverine
諭,Admonish,Say + Death Star
寛,Tolerance,Roof + Flowers + See
准,Semi,Ice + Turkey
披,Expose,Fingers + Skin
搭,"Board, Embark",Fingers + Flowers + Suit
艇,Rowboat,Boat + Yoga + King
曙,Dawn,Sun + Net + Someone
緯,Latitude,Thread + Korea
騰,Inflation,Moon + Train + Horse
据,Install,Fingers + Flag + Old
舗,"Shop, Store",Cottage + Wedding
瓜,Melon,Melon
壌,"Soil, Earth",Dirt + Nurse
稿,Draft,Grain + Tall
諒,"Comprehend, Reality",Say + Capital
胡,Barbarian,Old + Moon
帥,Commander,Drop + Bear + Towel
惨,Disaster,Soul + Private + Big + Hair
繊,"Fiber, Slender",Thread + Cross + Spikes + Drunkard
剰,Surplus,Mouth + Grain + Knife
錦,Brocade,Gold + White + Towel
且,Also,Top Hat
鯨,Whale,Fish + Capital
疾,Rapid,Sick + Arrow
逸,Deviate,Treadmill + Excuse
栽,Planting,Plow + Drunkard
茜,Red Dye,Flowers + West
叙,Describe,Surplus + Stool
愚,Foolish,Splinter + Heart
勲,Merit,Heavy + Power + Boil
庶,"All, Bastard",Hick + Boil
荘,Villa,Flowers + Icicle + Samurai
酬,Repay,Alcohol + Drop + River
卸,Wholesale,Noon + Stop + Stamp
悠,Leisure,Leader + Stick + Winter + Heart
尚,"Furthermore, Esteem",Triceratops + Mustache
顕,"Appear, Existing",Sun + Spikes + Geoduck
拐,Kidnap,Fingers + Mouth + Sword
呈,"Present, Display",Mouth + King
粛,Solemn,Wolverine + Stick + Rice + Legs
紋,Family Crest,Thread + Writing
疎,"Neglect, Sparse",Coat Rack + Bundle
謡,Noh Chanting,Say + Satellite
酷,"Cruel, Unjust",Alcohol + Announce
痴,Stupid,Sick + Arrow + Mouth
栞,Bookmark,Dry + Tree
呆,Shock,Mouth + Tree
冠,"Crown, Cap",Forehead + Origin + Measurement
践,"Practice, Trample",Foot + Bar
阿,Flatter,Building + Lip Ring
欄,"Column, Space",Tree + Gate + East
哺,"Nurse, Suckle",Mouth + Wedding
杏,Apricot,Tree + Mouth
鎌,"Sickle, Scythe",Gold + Mona Lisa
傲,Proud,Leader + Dirt + Direction + Winter
茎,Stem,Flowers + Tombstone
旦,Dawn,Dawn
惜,Frugal,Soul + Long Ago
尿,"Urine, Pee",Flag + Water
癒,"Healing, Cure",Sick + Death Star + Heart
悼,"Grieve, Mourn",Soul + Toe + Early
憂,Grief,Ground + Self + Forehead + Heart + Winter
栃,Horse Chestnut,Tree + Cliff + Ten Thousand
髄,"Marrow, Bone Marrow",Bone + Treadmill + Have
那,What,Sword + Two + Building
抹,Erase,Fingers + Jet
累,Accumulate,Rice Paddy + Thread
粗,Coarse,Rice + Top Hat
憾,"Remorse, Regret",Soul + Feeling
之,This,Hills + Drop
赴,"Proceed, Move On",Run + Toe
伏,"Bow, Lay",Leader + Dog
栓,"Cork, Plug",Tree + Hat + King
鎮,Tranquilize,Gold + Reality
傍,"Nearby, Side",Leader + Lid + Fins + Forehead + Direction
瑛,Crystal,King + Flowers + Center
遼,Distant,Treadmill + Charcoal
奉,Dedicate,Train + Two + Stick
脊,"Stature, Height",Two + Person + Moon
昌,Prosperous,Sun
弥,Increasing,Bow + Gun + Small
佳,"Excellent, Skilled",Leader + Dirt
凝,"Congeal, Freeze, Absorbed In",Ice + Doubt
該,"The Above, That Specifically",Say + Slice
朴,"Simple, Crude",Tree + Toe
循,"Circulation, Sequential",Loiter + Cliff + Pope
郭,Enclosure,Sock + Building
愉,Pleasant,Soul + Death Star
虜,Captive,Tiger + Man
賓,"VIP, Guest",Roof + Ground + Few + Shellfish
龍,"Imperial, Dragon",Imperial
碑,Tombstone,Stone + Drop + Rice Paddy + Cross
呉,"Give, Do For",Catapult
穀,Grain,Samurai + Forehead + Grain + Weapon
陵,"Mausoleum, Tomb",Building + Frostbite
縛,"Bind, Retrain",Thread + Drop + Specialty
飽,"Bored, Sated",Eat + Wrap
洪,Flood,Tsunami + Together
搾,Squeeze,Fingers + Hole + Key
窮,Destitute,Hole + Body + Bow
猶,Still,Animal + Horns + Alcohol
宰,Manager,Roof + Spicy
拍,Beat,Fingers + White
庸,Common,Mullet + Brush + Task
恭,Respect,Together + Small + Drop
錯,"Confused, Mixed",Gold + Blackjack + Sun
縫,Sew,Thread + Winter + Treadmill + Signpost
弦,"Chord, Bowstring",Bow + Mysterious
凡,Mediocre,Table + Drop
遥,"Far Off, Far Away",Treadmill + Satellite
尉,"Military Officer, Military Rank",Flag + Jackhammer + Measurement
摂,In Addition,Fingers + Ear + Explosion
智,Wisdom,Arrow + Mouth + Sun
舶,Ship,Boat + White
紳,Gentleman,Thread + Humble
蝶,Butterfly,Insect + World + Tree
轄,Control,Car + Roof + Life + Mouth
悦,"Delight, Joy",Soul + Guard
柴,"Brushwood, Firewood",Stop + Spoon + Tree
匠,Artisan,Cage + Axe
凛,Cold,Ice + Lid + Times + Jackhammer
嘉,Esteem,Drum + Power + Mouth
靖,Peaceful,Stand + Blue
寂,Lonely,Roof + Above + Small + Stool
窒,Suffocate,Hole + Mole
弊,Evil,penguin + Twenty
漬,"Pickle, Soak",Tsunami + Life + Shellfish
喝,Scold,Mouth + Sun + Prison + Spoon
羅,"Spread Out, Arrange",Net + Thread + Turkey
腸,"Intestines, Guts",Moon + Easy
膜,Membrane,Moon + Greenhouse
胎,"Womb, Uterus",Moon + Machine
遮,Intercept,Treadmill + Hick + Boil
醸,Brew,Alcohol + Nurse
酵,Ferment,Alcohol + Teacher
哉,"Question Mark, ?",Dirt + Mouth + Drunkard
蒼,"Pale, Blue",Flowers + Warehouse
伐,"Fell, Attack",Leader + Drunkard
旋,"Rotation, Revolution",Direction + Gun + Coat Rack
瑠,Lapis Lazuli,King + Private + Sword + Rice Paddy
敢,Daring,Elf + Winter
凹,"Concave, Hollow",Concave
鼓,Beat,Drum + Branch
萌,Sprout,Flowers + Bright
盲,Blind,Death + Eye
楓,Maple,Tree + Wind
峡,Ravine,Mountain + Husband + Horns
凸,"Convex, Uneven",Convex
俸,Salary,Leader + Train + Two + Stick
衡,Equilibrium,Go + Prison + Rice Paddy + Big
遍,Universal,Treadmill + Library
紺,"Navy, Dark Blue",Thread + Sweet
弔,Condolence,Bow + Stick
堕,Degenerate,Building + Have + Dirt
坪,Two Mat Area,Dirt + Peace
閲,Inspection,Gate + Guard
槽,"Tank, Vat",Tree + Ground + Music + Sun
乙,"Latter, B",Nose
款,Article,Samurai + Jackhammer + Lack
賊,Robber,Shellfish + Drunkard + Cross
烏,Crow,Bird
菅,Sedge,Flowers + Roof + Bear
絹,Silk,Thread + Mouth + Moon
酌,Serve,Alcohol + Pool
迭,Alternate,Treadmill + Fault
嘱,"Request, Entrust",Mouth + Flag + Mantis
錠,Lock,Gold + Roof + Coat Rack
鶏,Chicken,Cleat + Husband + Bird
媒,Mediator,Woman + Sweet + Tree
享,Receive,Sock
濁,"Muddy, Impure",Tsunami + Net + Prison + Insect
憤,Resent,Soul + Cross + Flowers + Shellfish
戯,Play,Tiger + Spikes + Drunkard
漣,Ripples,Tsunami + Treadmill + Car
奔,"Run, Bustle",Big + Cross + Twenty
慨,Sigh,Soul + Root + Fang
陪,Accompany,Building + Clown
藩,Fiefdom,Flowers + Tsunami + Number
殻,"Husk, Shell",Samurai + Forehead + Table + Weapon
朽,"Rot, Decay",Tree + Ground + Prison
肖,Resemblance,Triceratops + Moon
淑,Graceful,Tsunami + Above + Small + Stool
忌,Mourning,Oneself + Heart
窃,Steal,Hole + Seven + Sword
暁,Dawn,Sun + Gambler
赦,Pardon,Red + Winter
硫,Sulfur,Stone + Boob + River
椎,Oak,Tree + Turkey
璃,Glassy,King + Rocket
剖,Divide,Clown + Knife
扶,Aid,Fingers + Husband
瑞,Congratulations,King + Mountain + Rake
帆,Sail,Towel + Table + Drop
傑,"Greatness, Excellence",Leader + Dance + Tree
譜,"Genealogy, Score",Say + Line Up + Sun
凌,Endure,Ice + Frostbite
姻,"Marry, Matrimony",Woman + Mouth + Big
憧,"Long For, Yearn",Soul + Stand + Village
甚,"Very, Great",Crab Trap
鋳,"Cast, Casting",Gold + Slide + Three + Measurement
汰,Select,Tsunami + Fat
慶,Congratulate,Mullet + Helicopter + Barb + Heart + Winter
蔑,"Scorn, Neglect",Flowers + Net + Slide + Drunkard + Drop
胆,Guts,Moon + Dawn
閑,Leisure,Gate + Tree
睦,Friendly,Eye + Womb
擬,Imitate,Fingers + Doubt
叔,Uncle. Aunt,Above + Small + Stool
屯,Barracks,Barracks
礁,Reef,Stone + Turkey + Boil
亜,Asia,Tie Fighter
沙,Sand,Tsunami + Few
酪,Dairy,Alcohol + Kiss
曹,Official,Ground + Music + Sun
漆,"Lacquer, Varnish",Tsunami + Tree + Hat + Water
梓,Wood Block,Tree + Spicy
岬,Cape,Mountain + Turtle Shell
吟,Recital,Mouth + Now
遷,Transition,Treadmill + Helicopter + Big + Oneself
侮,Despise,Leader + Every
堪,Endure,Dirt + Crab Trap
雌,Female,Stop + Spoon + Turkey
崇,"Worship, Revere",Mountain + Roof + Jackhammer
峠,Ridge,Mountain + Above + Below
禍,"Evil, Misfortune",Spirit + Mustache
卑,"Lowly, Base",Drop + Rice Paddy + Cross
拙,Clumsy,Fingers + Exit
紡,Spinning,Thread + Direction
詠,"Compose, Recite",Say + Water + Drop
篤,Deliberate,Bamboo + Horse
浪,Wander,Tsunami + Good
唄,Shamisen Song,Mouth + Shellfish
某,Certain,Sweet + Tree
囚,Criminal,Mouth + Person
廉,Bargain,Mullet + Mona Lisa
桟,Jetty,Tree + Bar
寡,Widow,Roof + Geoduck + Ground + Sword
渓,Valley,Tsunami + Cleat + Husband
煩,Annoy,Fire + Geoduck
醜,Ugly,Alcohol + Demon
逝,Die,Treadmill + Fingers + Axe
倹,Thrifty. Frugal,Leader + Squid
漸,Gradually,Tsunami + Car + Axe
痢,Diarrhea,Sick + Grain + Knife
匿,Hide,Cage + Flowers + Right
狐,Fox,Animal + Melon
湧,Well,Tsunami + Courage
殉,Martyr,Yakuza + Prison + Sun
慕,"Yearn For, Adore",Greenhouse + Small + Drop
拷,Torture,Fingers + Coffin + Beggar
蛮,Barbarian,Red + Insect
坑,Pit,Dirt + Lid + Table
升,"Grid, Measure",Slide + Twenty
妄,Reckless,Death + Woman
泌,Secrete,Tsunami + Certain
婿,Groom,Woman + Coat Rack + Moon
藻,Seaweed,Flowers + Tsunami + Syrup
謹,Humble,Say + Boot
畔,Shore,Rice Paddy + Half
藍,Indigo,Flowers + Oversee
矯,Correct,Arrow + Heaven + Mouth + Mustache
劾,Censure,Slice + Power
罷,Quit,Net + Ability